Exec,Tempo,Code
1,1.2508883476257324,200
2,1.2190141677856445,200
3,1.2760682106018066,200
4,1.2722666263580322,200
5,1.2781529426574707,200
6,1.2307839393615723,200
7,1.2782869338989258,200
8,1.2699944972991943,200
9,1.2621612548828125,200
10,1.267829418182373,200
11,1.2730414867401123,200
12,1.2648625373840332,200
13,1.2630794048309326,200
14,1.2878732681274414,200
15,1.5480396747589111,200
16,1.632066249847412,200
17,1.6497406959533691,200
18,1.8460955619812012,200
19,1.5160114765167236,200
20,1.5761322975158691,200
21,1.608802318572998,200
22,1.9992892742156982,200
23,2.5269079208374023,200
24,2.2478091716766357,200
25,1.889798879623413,200
26,1.5912532806396484,200
27,1.721008539199829,200
28,1.5322895050048828,200
29,1.5916659832000732,200
30,1.4370148181915283,200
31,1.5692493915557861,200
32,1.2819931507110596,200
33,1.2786452770233154,200
34,1.3492448329925537,200
35,1.3575949668884277,200
36,1.250455379486084,200
37,1.289417028427124,200
38,1.4024567604064941,200
39,1.2571585178375244,200
40,1.3538987636566162,200
41,1.3888616561889648,200
42,1.2572026252746582,200
43,1.3710408210754395,200
44,1.415445327758789,200
45,1.28566575050354,200
46,1.3314013481140137,200
47,1.3374228477478027,200
48,1.4701659679412842,200
49,1.2679109573364258,200
50,1.4827685356140137,200
51,1.7092325687408447,200
52,1.4570963382720947,200
53,1.24497389793396,200
54,1.3614916801452637,200
55,1.2577149868011475,200
56,1.2820491790771484,200
57,1.3554060459136963,200
58,1.483269453048706,200
59,1.4958195686340332,200
60,1.2869467735290527,200
61,1.2768025398254395,200
62,1.2963218688964844,200
63,1.3401768207550049,200
64,1.3123257160186768,200
65,1.3168866634368896,200
66,1.3334765434265137,200
67,1.2760367393493652,200
68,1.280851125717163,200
69,1.2641611099243164,200
70,1.3251690864562988,200
71,1.574599027633667,200
72,1.5672106742858887,200
73,1.5652461051940918,200
74,1.4777932167053223,200
75,1.292262077331543,200
76,1.2696478366851807,200
77,1.2578749656677246,200
78,1.284022331237793,200
79,1.3249280452728271,200
80,1.2675554752349854,200
81,1.254390001296997,200
82,1.2411267757415771,200
83,1.2799811363220215,200
84,1.2574241161346436,200
85,1.244575023651123,200
86,1.241898775100708,200
87,1.2589855194091797,200
88,1.234048843383789,200
89,1.2454276084899902,200
90,1.2646350860595703,200
91,1.253373146057129,200
92,1.2952117919921875,200
93,1.2453851699829102,200
94,1.2759521007537842,200
95,1.2378363609313965,200
96,1.266573190689087,200
97,1.2409119606018066,200
98,1.2739791870117188,200
99,1.3347725868225098,200
100,1.461047649383545,200
101,1.4525821208953857,200
102,1.3094077110290527,200
103,1.2537109851837158,200
104,1.2841589450836182,200
105,1.2933406829833984,200
106,1.5324902534484863,200
107,1.4751081466674805,200
108,1.3216595649719238,200
109,1.3179595470428467,200
110,1.2911596298217773,200
111,1.2397511005401611,200
112,1.2410788536071777,200
113,1.2761433124542236,200
114,1.2880544662475586,200
115,1.2740976810455322,200
116,1.2573926448822021,200
117,1.2580721378326416,200
118,1.2699642181396484,200
119,1.2604284286499023,200
120,1.2672398090362549,200
121,1.2838938236236572,200
122,1.2919223308563232,200
123,1.2816758155822754,200
124,1.239610195159912,200
125,1.2654876708984375,200
126,1.2514619827270508,200
127,1.2366626262664795,200
128,1.249819278717041,200
129,1.2371556758880615,200
130,1.3298640251159668,200
131,1.2432773113250732,200
132,1.2840242385864258,200
133,1.2482423782348633,200
134,1.2526073455810547,200
135,1.2472689151763916,200
136,1.2513604164123535,200
137,1.2471826076507568,200
138,1.269040584564209,200
139,1.279153823852539,200
140,1.2552518844604492,200
141,1.240565538406372,200
142,1.2328529357910156,200
143,1.2711594104766846,200
144,1.289132833480835,200
145,1.2648646831512451,200
146,1.339677095413208,200
147,1.2706239223480225,200
148,1.2647178173065186,200
149,1.329275369644165,200
150,1.288045883178711,200
151,1.2399463653564453,200
152,1.278855323791504,200
153,1.2369043827056885,200
154,1.2351598739624023,200
155,1.245997428894043,200
156,1.2598490715026855,200
157,1.231865644454956,200
158,1.2728018760681152,200
159,1.2939562797546387,200
160,1.2925257682800293,200
161,1.2545380592346191,200
162,1.250497579574585,200
163,1.2563159465789795,200
164,1.2535521984100342,200
165,1.2471354007720947,200
166,1.241790533065796,200
167,1.2581696510314941,200
168,1.239025354385376,200
169,1.2867865562438965,200
170,1.2600371837615967,200
171,1.293712854385376,200
172,1.2641751766204834,200
173,1.2650487422943115,200
174,1.258925199508667,200
175,1.2536547183990479,200
176,1.2369005680084229,200
177,1.2386534214019775,200
178,1.2474749088287354,200
179,1.2719223499298096,200
180,1.2597618103027344,200
181,1.2426586151123047,200
182,1.267796277999878,200
183,1.2670152187347412,200
184,1.2798042297363281,200
185,1.2772047519683838,200
186,1.2716820240020752,200
187,1.2732160091400146,200
188,1.2693018913269043,200
189,1.2652652263641357,200
190,1.252638339996338,200
191,1.2578871250152588,200
192,1.2599401473999023,200
193,1.2513160705566406,200
194,1.2890098094940186,200
195,1.2927427291870117,200
196,1.4179749488830566,200
197,1.3160223960876465,200
198,1.317129135131836,200
199,1.268463134765625,200
200,1.2552950382232666,200
201,1.3040552139282227,200
202,1.2560184001922607,200
203,1.272613286972046,200
204,1.2663006782531738,200
205,1.272961139678955,200
206,1.2517437934875488,200
207,1.2811384201049805,200
208,1.2491044998168945,200
209,1.2614820003509521,200
210,1.2653555870056152,200
211,1.2615487575531006,200
212,1.303785800933838,200
213,1.3080835342407227,200
214,1.2795617580413818,200
215,1.3627147674560547,200
216,1.2927327156066895,200
217,1.227135181427002,200
218,1.288665533065796,200
219,1.314770221710205,200
220,1.2690520286560059,200
221,1.3465490341186523,200
222,1.2810516357421875,200
223,1.2632145881652832,200
224,1.2563323974609375,200
225,1.2507145404815674,200
226,1.2668802738189697,200
227,1.289088249206543,200
228,1.3523204326629639,200
229,1.2513878345489502,200
230,1.25797438621521,200
231,1.2424941062927246,200
232,1.2808778285980225,200
233,1.252246618270874,200
234,1.26827073097229,200
235,1.243086338043213,200
236,1.355943202972412,200
237,1.3702170848846436,200
238,1.3227598667144775,200
239,1.4214909076690674,200
240,1.407588243484497,200
241,1.4130949974060059,200
242,1.8318521976470947,200
243,1.679090976715088,200
244,1.875793695449829,200
245,2.056089401245117,200
246,2.0571670532226562,200
247,1.8208942413330078,200
248,1.8249950408935547,200
249,1.4760692119598389,200
250,1.6192936897277832,200
251,1.8886475563049316,200
252,1.568192958831787,200
253,1.528780460357666,200
254,1.247328758239746,200
255,1.3089137077331543,200
256,1.3490190505981445,200
257,1.2467684745788574,200
258,1.4119806289672852,200
259,1.3773491382598877,200
260,1.3118667602539062,200
261,1.4214837551116943,200
262,1.3911232948303223,200
263,1.2471916675567627,200
264,1.2946105003356934,200
265,1.3279922008514404,200
266,1.2620832920074463,200
267,1.286947250366211,200
268,1.3888871669769287,200
269,1.2520036697387695,200
270,1.2903244495391846,200
271,1.3758740425109863,200
272,1.3558731079101562,200
273,1.4890716075897217,200
274,1.5736033916473389,200
275,1.6173324584960938,200
276,1.705082654953003,200
277,1.825199842453003,200
278,1.507991075515747,200
279,1.712500810623169,200
280,1.6689622402191162,200
281,1.7190370559692383,200
282,1.7389602661132812,200
283,1.6240441799163818,200
284,1.355963945388794,200
285,1.5868406295776367,200
286,1.3691580295562744,200
287,1.63897705078125,200
288,1.4976234436035156,200
289,1.7362172603607178,200
290,1.707892656326294,200
291,1.3122811317443848,200
292,1.2634263038635254,200
293,1.30302095413208,200
294,1.2493414878845215,200
295,1.2606067657470703,200
296,1.3091561794281006,200
297,1.2746233940124512,200
298,1.317702054977417,200
299,1.2712926864624023,200
300,1.2705938816070557,200
301,1.310011863708496,200
302,1.2547273635864258,200
303,1.2822530269622803,200
304,1.2723803520202637,200
305,1.288550615310669,200
306,1.3104548454284668,200
307,1.2389624118804932,200
308,1.237095832824707,200
309,1.264251470565796,200
310,1.2546403408050537,200
311,1.2732517719268799,200
312,1.2469077110290527,200
313,1.2430765628814697,200
314,1.2553026676177979,200
315,1.2705998420715332,200
316,1.2552881240844727,200
317,1.2437210083007812,200
318,1.237715482711792,200
319,1.2513537406921387,200
320,1.2777326107025146,200
321,1.4079902172088623,200
322,1.393944501876831,200
323,1.2419145107269287,200
324,1.2785751819610596,200
325,1.440558671951294,200
326,1.6885700225830078,200
327,1.4843344688415527,200
328,1.3065383434295654,200
329,1.3830115795135498,200
330,1.2348897457122803,200
331,1.406714916229248,200
332,1.5615663528442383,200
333,1.4473326206207275,200
334,1.2878448963165283,200
335,1.2517497539520264,200
336,1.2659547328948975,200
337,1.2740797996520996,200
338,1.2682275772094727,200
339,1.2766430377960205,200
340,1.3351223468780518,200
341,1.2550098896026611,200
342,1.2951042652130127,200
343,1.2609302997589111,200
344,1.2518999576568604,200
345,1.2528080940246582,200
346,1.2715377807617188,200
347,1.2687437534332275,200
348,1.305896520614624,200
349,1.2601912021636963,200
350,1.267843246459961,200
351,1.2725858688354492,200
352,1.2784225940704346,200
353,1.2915356159210205,200
354,1.308556079864502,200
355,1.29026198387146,200
356,1.2848544120788574,200
357,1.2727751731872559,200
358,1.2623231410980225,200
359,1.275430679321289,200
360,1.2744781970977783,200
361,1.2914819717407227,200
362,1.236989974975586,200
363,1.2573785781860352,200
364,1.2356886863708496,200
365,1.2689130306243896,200
366,1.2729604244232178,200
367,1.2806742191314697,200
368,1.2708778381347656,200
369,1.287259817123413,200
370,1.2712538242340088,200
371,1.3187906742095947,200
372,1.2543554306030273,200
373,1.371445655822754,200
374,1.3921582698822021,200
375,1.359140157699585,200
376,1.333678960800171,200
377,1.3441567420959473,200
378,1.3608112335205078,200
379,1.2975184917449951,200
380,1.5561432838439941,200
381,1.3884937763214111,200
382,1.6458680629730225,200
383,1.4070396423339844,200
384,1.3047196865081787,200
385,1.2531523704528809,200
386,1.2231273651123047,200
387,1.2693417072296143,200
388,1.246347427368164,200
389,1.2567169666290283,200
390,1.279545783996582,200
391,1.264106273651123,200
392,1.2627623081207275,200
393,1.2370185852050781,200
394,1.2818095684051514,200
395,1.2680351734161377,200
396,1.268287181854248,200
397,1.2506754398345947,200
398,1.2751290798187256,200
399,1.2939386367797852,200
400,1.2890818119049072,200
401,1.2869994640350342,200
402,1.2530498504638672,200
403,1.2578797340393066,200
404,1.2700684070587158,200
405,1.2660760879516602,200
406,1.2534871101379395,200
407,1.2792439460754395,200
408,1.2705445289611816,200
409,1.2394905090332031,200
410,1.268789529800415,200
411,1.2586171627044678,200
412,1.2794315814971924,200
413,1.2747974395751953,200
414,1.258368968963623,200
415,1.2552034854888916,200
416,1.2813775539398193,200
417,1.2936217784881592,200
418,1.306001901626587,200
419,1.5135517120361328,200
420,1.2939534187316895,200
421,1.2838020324707031,200
422,1.2958424091339111,200
423,1.2599360942840576,200
424,1.2929394245147705,200
425,1.3250007629394531,200
426,1.7029902935028076,200
427,1.2992591857910156,200
428,1.2598934173583984,200
429,1.2682373523712158,200
430,1.2279984951019287,200
431,1.2480642795562744,200
432,1.2353291511535645,200
433,1.2617294788360596,200
434,1.2476866245269775,200
435,1.2833385467529297,200
436,1.257373571395874,200
437,1.2542691230773926,200
438,1.2717876434326172,200
439,1.2429544925689697,200
440,1.2598090171813965,200
441,1.2404084205627441,200
442,1.422053575515747,200
443,1.2348041534423828,200
444,1.3295719623565674,200
445,1.2809412479400635,200
446,1.3060548305511475,200
447,1.2820568084716797,200
